SEQ,MNAME,PRICE,MYEAR,MILEAGE,COLOR,TRANS,F_TYPE,DISP,VTYPE,VNUM,CU_HIS,MVD_HIS,AVD_HIS,FD_HIS,VT_HIS,US_HIS,L_NAME
6569,현대 더 뉴 싼타페 TM 디젤 2.2 2WD 프레스티지,450,2009,103020,은색,오토,디젤,2000,SUV,34주6686,0,0,0,0,0,3,현대 싼타페
6570,현대 스타리아 라운지 2.2 라운지 9 AWD 인스퍼레이션,630,2011,91287,흰색,오토,가솔린,1998,중형,27오7416,0,0,0,0,0,2,기아 레이
6571,현대 그랜저IG 3.0 익스클루시브 기본형,2210,2020,102000,검정색,오토,가솔린,2497,대형,379도7113,0,0,0,0,0,2,현대 그랜저
6572,현대 아반떼AD 1.6 GDi 스마트,2900,2020,122154,흰색,오토,디젤,2191,SUV,149라5473,1,0,0,0,0,1,현대 아반떼
6573,현대 싼타페 더 프라임 디젤 R2.0 2WD 7인승 프리미엄,299,2009,234999,검정색,오토,LPG,2656,대형,50로4255,0,0,0,0,0,6,현대 싼타페
6574,현대 올 뉴 투싼 디젤(e-VGT R)2.0 2WD 모던,1750,2019,80828,흰색,오토,디젤,1995,SUV,18누6915,0,0,0,0,0,1,현대 투싼
6575,현대 마이티 큐티 윙바디 일반캡,2390,2015,113635,흰색,수동,디젤,3933,트럭,86가2977,0,0,0,0,0,3,현대 마이티
6576,현대 싼타페 DM R2.0 4WD PREMIUM,1020,2013,166726,회색,오토,디젤,1995,SUV,17무4315,0,0,0,0,0,1,현대 싼타페
6577,현대 아반떼MD M16 GDi PREMIER,590,2012,135346,흰색,오토,가솔린,1591,준중형,33두6717,0,0,0,0,0,3,현대 아반떼
6578,현대 쏘나타 뉴 라이즈 하이브리드 2.0 HEV 모던,1650,2018,32215,회색,오토,하이브리드(가솔린),1999,중형,62소4851,0,0,0,0,0,3,현대 쏘나타
6579,현대 그랜저HG HG300 프라임,775,2011,79635,검정색,오토,가솔린,2999,대형,22로5051,0,0,0,0,0,2,현대 그랜저
6580,현대 제네시스 쿠페 200 Turbo P,670,2009,154845,흰색,오토,가솔린,1998,스포츠카,13머8154,0,0,0,0,0,7,현대 제네시스
6581,현대 그랜저HG HG240 럭셔리,665,2011,178962,검정색,오토,가솔린,2359,대형,69수4987,0,0,0,0,0,6,현대 그랜저
6582,현대 더 뉴 그랜저 2.5 프리미엄 초이스,2550,2020,66450,검정색,오토,가솔린,2497,대형,264도5512,1,0,0,0,0,1,현대 그랜저
6583,현대 i40 Saloon 1.7 VGT MODERN,660,2013,173913,회색,오토,디젤,1685,중형,51너6970,0,0,0,0,0,2,BMW i4
6584,현대 YF쏘나타 LPi 탑,450,2010,162807,흰색,오토,LPG,1998,중형,66노5550,0,0,0,0,0,2,현대 쏘나타
6585,현대 엑센트(신형) 1.4 VVT 스마트,600,2014,50901,흰색,오토,가솔린,1645,소형,28수5334,0,0,0,0,0,1,현대 엑센트
6586,현대 그랜드스타렉스 11인승 왜건 CVX 프리미엄,890,2013,117577,회색,수동,디젤,2497,승합,70라8931,0,0,0,0,0,1,현대 스타렉스
6587,현대 아반떼MD M16 GDi LUXURY,590,2012,123335,흰색,오토,가솔린,1591,준중형,19두6992,0,0,0,0,0,4,현대 아반떼
6588,현대 더 뉴 아반떼 1.6 GDi 프리미엄 기본형,920,2014,60500,흰색,오토,가솔린,1849,준중형,26어2535,0,0,0,0,0,4,현대 아반떼
6589,현대 쏘나타 뉴 라이즈 2.0 스마트 초이스,1190,2018,130693,회색,오토,가솔린,1999,중형,294조2632,1,0,0,0,0,3,현대 쏘나타
6590,현대 포터2 초장축 일반캡 CRDi Smart,1080,2019,162615,파랑색,오토,디젤,2497,트럭,92버1850,0,0,0,0,0,1,현대 포터
6591,현대 그랜저HG HG240 모던 컬렉션,1330,2016,90359,흰색,오토,가솔린,2359,대형,30고0571,0,0,0,0,0,3,현대 그랜저
6592,현대 더 뉴 그랜저 2.5 프리미엄 초이스,590,2011,118377,흰색,오토,가솔린,1591,준중형,53거9120,0,0,0,0,0,3,현대 그랜저
6593,현대 싼타페 TM 디젤 2.0 2WD 프리미엄,455,2012,356000,흰색,오토,디젤,2349,트럭,83수7117,1,0,0,0,0,6,현대 싼타페
6594,현대 올 뉴 투싼 디젤(e-VGT R)2.0 2WD 모던,1230,2013,157665,흰색,오토,디젤,2191,SUV,33조7984,0,0,0,0,0,2,현대 투싼
6595,현대 더 뉴 팰리세이드 2.2 디젤 4WD 캘리그래피,1290,2019,125365,파랑색,오토,디젤,2349,트럭,81저4690,0,0,0,0,0,2,현대 팰리세이드
6596,현대 더 뉴 싼타페 TM 하이브리드 1.6 HEV 2WD 캘리그래피,670,2012,132000,흰색,오토,디젤,1995,SUV,41버9331,0,0,0,0,0,2,현대 싼타페
6597,현대 i40 2.0 GDI MODERN,1120,2015,126269,검정색,오토,하이브리드(가솔린),3007,대형,11로6485,0,0,0,0,0,3,BMW i4
6598,현대 아이오닉6(CE) 롱레인지 프레스티지,600,2011,46068,흰색,수동,디젤,2476,트럭,89부8599,0,0,0,0,0,1,현대 아이오닉6
6599,현대 제네시스DH G330 모던,890,2014,252454,검정색,오토,가솔린,3300,대형,15가2152,1,0,0,0,0,7,현대 제네시스
6600,현대 그랜드스타렉스 15인승 어린이버스 4WD 럭셔리,1090,2015,115897,노랑색,오토,디젤,2497,승합,71더7880,0,0,0,0,0,2,현대 스타렉스
6601,현대 베라크루즈 2WD 300VX LUXURY,630,2008,254107,회색,오토,디젤,2191,SUV,33부2875,0,0,0,0,0,1,한국GM 크루즈
6602,현대 더 뉴 아반떼 AD Smartstream G1.6 스마트,1330,2018,81344,쥐색,오토,가솔린,1598,준중형,179모4013,1,0,0,0,0,1,현대 아반떼
6603,현대 i30 (PD) 1.4 터보 프리미엄,910,2017,29000,검정색,오토,가솔린,1849,준중형,61우3554,0,0,0,0,0,2,BMW i3
6604,현대 e-마이티 2.5톤 내장탑차 파워게이트,1740,2013,356920,흰색,수동,디젤,3933,트럭,89마5623,1,0,0,0,0,5,현대 마이티
6605,현대 그랜저IG 하이브리드 익스클루시브 스페셜,2570,2019,78946,검정색,오토,하이브리드(가솔린),2359,대형,212로1959,1,0,0,0,0,1,현대 그랜저
6606,현대 싼타페 TM 디젤 2.0 2WD 프레스티지,2503,2019,48221,흰색,오토,디젤,1995,SUV,292주9874,0,0,0,0,0,2,현대 싼타페
6607,현대 i40 Saloon 2.0 GDI PREMIUM,570,2012,171382,흰색,오토,가솔린,2181,중형,46모4668,0,0,0,0,0,1,BMW i4
6608,현대 LF쏘나타 하이브리드 2.0 HEV 프리미엄,1220,2015,129459,흰색,오토,하이브리드(가솔린),2000,중형,19소7796,0,0,0,0,0,2,현대 쏘나타
6609,현대 쏘나타 (DN8) 1.6 T 프리미엄 밀레니얼,2250,2021,47855,빨강색,오토,가솔린,1600,중형,374마5737,0,0,0,0,0,1,현대 쏘나타
6610,현대 올 뉴 아반떼(CN7) 1.6 가솔린 모던,1360,2021,58161,흰색,오토,가솔린,1598,소형,243부4221,1,0,0,0,0,4,현대 아반떼
6611,현대 그랜저IG 2.4 모던 기본형,1720,2019,108325,인기색상,오토,가솔린,2500,대형,139소5986,1,0,0,0,0,3,현대 그랜저
6612,현대 더 뉴 아반떼 1.6 VGT 프리미엄 기본형,670,2014,162093,흰색,오토,디젤,1582,준중형,27부3431,0,0,0,0,0,1,현대 아반떼
6613,현대 아반떼MD M16 GDi LUXURY,499,2010,82900,쥐색,오토,가솔린,1591,준중형,18머8696,0,0,0,0,0,1,현대 아반떼
6614,현대 그랜드스타렉스 5인승 밴 스마트,950,2016,153900,회색,오토,디젤,2497,승합,81고9105,0,0,0,0,0,4,현대 스타렉스
6615,현대 더 뉴 그랜저 2.5 프리미엄 초이스,2750,2019,68085,인기색상,오토,가솔린,2497,대형,225누7550,1,0,0,0,0,1,현대 그랜저
6616,현대 포터2 초장축 슈퍼캡 저상내장탑차 스타일,1990,2022,36710,흰색,오토,디젤,2497,트럭,804노7701,1,0,0,0,0,0,현대 포터
6617,현대 더 뉴 아반떼 AD Smartstream G1.6 스타일,1770,2019,44218,갈색,오토,하이브리드(가솔린),1580,준중형,58수4787,0,0,0,0,0,3,현대 아반떼
6618,현대 올 뉴 투싼 디젤(e-VGT R)2.0 2WD 모던,1029,2019,112138,파랑색,CVT,가솔린,1598,SUV,208라2243,1,0,0,0,0,3,현대 투싼
